55;solr;True;True;False;138;102;155;False;Unknown problem in debloating container!;0;0;76.08593916893005;{'Java', 'CCPP'};16
56;swarm;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;27.805043935775757;set();52
57;bash;True;True;False;151;121;174;True;;1;7;66.1119658946991;{'CCPP'};22
58;eclipse-mosquitto;True;True;False;148;118;171;False;Unknown problem in debloating container!;1;7;63.21659326553345;{'CCPP'};22
59;vault;True;True;False;132;103;156;False;Unknown problem in debloating container!;48;35;67.77011728286743;{'Go'};23
60;drupal;True;True;False;146;110;163;True;;1;2;91.20612931251526;{'CCPP'};16
61;joomla;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;32.2726891040802;set();52
62;perl;True;True;False;159;123;176;True;;0;0;75.81266617774963;{'CCPP'};16
63;neo4j;True;True;False;149;119;172;False;Unknown problem in debloating container!;14;98;74.82525300979614;{'Java', 'CCPP'};22
64;percona;True;True;False;150;114;167;False;Unknown problem in debloating container!;1;16;78.4009063243866;{'CCPP'};16
65;buildpack-deps;True;True;False;192;156;209;True;;0;0;73.92401266098022;{'CCPP'};16
66;rocket-chat;False;False;False;0;0;53;False;;0;0;0.5230565071105957;set();52
67;owncloud;True;True;False;136;100;153;True;;1;2;91.29249382019043;{'CCPP'};16
68;nats;True;True;False;220;183;236;True;;0;0;62.607885122299194;{'Go'};15
69;flink;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;39.67598032951355;set();52
70;groovy;True;True;False;158;122;175;True;;0;0;70.85838842391968;{'Java', 'CCPP'};16
71;nats-streaming;True;True;False;264;226;279;False;Unknown problem in debloating container!;0;0;59.31216883659363;{'Go'};14
72;jruby;True;True;False;150;114;167;True;;0;0;84.72539758682251;{'Java', 'CCPP'};16
73;rethinkdb;True;True;False;163;127;180;False;Unknown problem in debloating container!;1;8;125.72152781486511;{'CCPP'};16
74;adminer;True;True;False;150;120;173;True;;2;9;75.37763333320618;{'CCPP'};22
75;fedora;True;True;False;111;82;135;True;;0;0;182.22281122207642;{'CCPP'};23
76;zookeeper;True;True;False;150;114;167;False;Unknown problem in debloating container!;0;0;72.86990237236023;{'Java', 'CCPP'};16
77;pypy;True;True;False;136;101;154;True;;0;0;73.2491385936737;{'CCPP'};17
78;kapacitor;True;True;False;165;131;184;True;;0;0;69.2125506401062;{'CCPP', 'Go'};18
79;jetty;True;True;False;154;118;171;False;Unknown problem in debloating container!;0;0;64.44607758522034;{'Java', 'CCPP'};16
80;websphere-liberty;True;True;False;144;108;161;True;;1;4;77.85950589179993;{'Java', 'CCPP'};16
81;erlang;True;True;False;158;122;175;True;;1;17;85.36363959312439;{'CCPP'};16
82;ibm-websphere-liberty;True;True;False;145;109;162;False;Unknown problem in debloating container!;1;4;63.73640966415405;{'Java', 'CCPP'};16
83;redmine;True;True;False;154;118;171;False;Unknown problem in debloating container!;0;0;71.5973904132843;{'CCPP'};16
84;matomo;True;True;False;136;100;153;True;;1;2;95.15956664085388;{'CCPP'};16
85;mongo-express;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;26.504069805145264;set();52
86;teamspeak;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;28.77083468437195;set();52
87;iojs;True;True;False;174;138;191;False;Container was debloated with problems. Dies after running!;1;24;99.72376656532288;{'CCPP'};16
88;swift;True;True;False;193;157;210;True;;0;0;99.95354151725769;{'CCPP'};16
89;elixir;True;True;False;158;122;175;True;;1;17;86.23839902877808;{'CCPP'};16
90;composer;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;32.39877367019653;set();52
91;mono;True;True;False;192;156;209;True;;0;0;86.23868894577026;{'CCPP'};16
92;tomee;True;True;False;155;119;172;False;Unknown problem in debloating container!;0;0;73.56463360786438;{'Java', 'CCPP'};16
93;django;True;True;False;153;117;170;True;;0;3;102.10074973106384;{'CCPP'};16
94;piwik;True;True;False;137;101;154;True;;1;2;96.4529025554657;{'CCPP'};16
95;haxe;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;28.696726322174072;set();52
96;rust;True;True;False;192;156;209;True;;0;0;91.41339588165283;{'CCPP'};16
97;xwiki;True;True;False;121;85;138;True;;0;0;610.5517687797546;{'Java', 'CCPP'};16
98;odoo;True;True;False;123;88;141;True;;158;15;242.90561294555664;{'CCPP'};17
99;arangodb;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;35.728126764297485;set();52
100;znc;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;36.554139137268066;set();52
101;mediawiki;True;True;False;146;110;163;True;;1;2;87.68655753135681;{'CCPP'};16
102;oraclelinux;True;True;False;144;110;163;True;;0;4;99.78946280479431;{'CCPP'};18
103;ubuntu-debootstrap;True;True;False;197;161;214;True;;0;0;115.62418603897095;{'CCPP'};16
104;clojure;True;True;False;149;113;166;True;;0;0;75.87422943115234;{'Java', 'CCPP'};16
105;rails;True;True;False;175;139;192;True;;0;3;107.43080568313599;{'CCPP'};16
106;ibmjava;True;True;False;186;150;203;True;;1;4;77.03892159461975;{'CCPP'};16
107;opensuse;True;True;False;201;164;217;True;;0;0;65.30653810501099;{'CCPP'};15
108;orientdb;True;True;False;143;113;166;False;Unknown problem in debloating container!;2;14;63.76435422897339;{'Java', 'CCPP'};22
109;gcc;True;True;False;192;156;209;True;;0;0;79.98339438438416;{'CCPP'};16
110;ros;True;True;False;165;129;182;True;;0;0;107.06768822669983;{'CCPP', 'Python'};16
111;neurodebian;True;True;False;192;156;209;True;;0;0;75.94102931022644;{'CCPP'};16
112;notary;False;False;False;0;0;53;False;;0;0;0.47274112701416016;set();52
113;julia;True;True;False;156;120;173;False;Unknown problem in debloating container!;0;0;71.60887479782104;{'CCPP'};16
114;irssi;True;True;False;158;122;175;True;;0;0;70.20383524894714;{'CCPP'};16
115;kaazing-gateway;True;True;False;150;114;167;True;;0;0;75.366938829422;{'Java', 'CCPP'};16
116;backdrop;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;30.548943281173706;set();52
117;oracle-fmw-infrastructure;True;False;False;0;0;53;False;Container got killed after running in attached mode as well!;0;0;26.415192365646362;set();52
118;plone;True;True;False;175;139;192;False;Unknown problem in debloating container!;155;0;75.52178645133972;{'CCPP', 'Python'};16
119;php-zendserver;True;True;False;124;90;143;True;;3;32;129.5785529613495;{'CCPP'};18
